City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-17.92,72,55,0.89,GL,1681340458
1,ushuaia,-54.8,-68.3,3.81,65,75,7.72,AR,1681340459
2,provideniya,64.3833,-173.3,-14.8,61,20,3.13,RU,1681340459
3,mogadishu,2.0371,45.3438,27.54,76,100,5.05,SO,1681340411
4,mehamn,71.0357,27.8492,-2.05,66,20,7.1,NO,1681340460
5,tocopilla,-22.092,-70.1979,19.27,81,3,3.73,CL,1681339914
6,am timan,11.0297,20.2827,31.97,29,29,1.39,TD,1681340461
7,lebu,-37.6167,-73.65,13.52,92,100,4.75,CL,1681340461
8,kapaa,22.0752,-159.319,26.99,76,100,3.13,US,1681340462
9,kruisfontein,-34.0033,24.7314,14.68,50,100,2.92,ZA,1681340463
10,vaini,-21.2,-175.2,29.09,74,75,5.14,TO,1681340466
11,nurota,40.5614,65.6886,21.49,25,96,4.22,UZ,1681340467
12,paamiut,61.994,-49.6678,-0.02,72,11,2.73,GL,1681340468
13,barrow,71.2906,-156.7887,-20.99,77,0,5.14,US,1681340472
14,terra santa,-2.1042,-56.4869,25.28,90,77,1.21,BR,1681340474
15,avarua,-21.2078,-159.775,28.03,69,40,2.57,CK,1681340324
16,airai,-8.9266,125.4092,18.24,86,98,0.54,TL,1681340476
17,san juan,-31.5375,-68.5364,16.94,56,100,8.93,AR,1681340273
18,east london,-33.0153,27.9116,18.16,68,100,3.38,ZA,1681340434
19,presidencia roque saenz pena,-26.7852,-60.4388,26.11,60,37,1.36,AR,1681340479
20,khatanga,71.9667,102.5,-15.34,70,57,9.71,RU,1681340481
21,port alfred,-33.5906,26.891,18.86,63,100,3.55,ZA,1681340484
22,mahebourg,-20.4081,57.7,24.16,94,20,1.54,MU,1681340485
23,busselton,-33.65,115.3333,19.14,70,85,8.6,AU,1681340486
24,rikitea,-23.1203,-134.9692,25.46,68,32,4.99,PF,1681340488
25,bundaberg,-24.85,152.35,27.9,80,0,3.13,AU,1681340455
26,new norfolk,-42.7826,147.0587,14.28,73,58,0.45,AU,1681340492
27,verkhnyaya toyma,62.2349,44.9985,-3.69,81,100,4.57,RU,1681340493
28,kampot,10.6167,104.1833,28.03,85,95,1.44,KH,1681340493
29,aklavik,68.2191,-135.0107,-16.0,43,75,2.06,CA,1681340494
30,monrovia,6.3005,-10.7969,27.3,84,52,3.12,LR,1681340495
31,dingle,10.9995,122.6711,25.5,74,65,1.59,PH,1681340495
32,jutai,-5.1833,-68.9,24.41,95,98,1.24,BR,1681340496
33,brownwood,31.7093,-98.9912,27.62,28,0,5.14,US,1681340496
34,nanakuli,21.3906,-158.1547,27.97,61,100,4.12,US,1681340497
35,yar-sale,66.8333,70.8333,-23.37,97,34,5.31,RU,1681340497
36,kavieng,-2.5744,150.7967,26.84,81,100,4.98,PG,1681340499
37,codrington,-38.2667,141.9667,16.48,87,88,3.39,AU,1681340500
38,kupang,-10.1667,123.5833,26.32,89,20,1.54,ID,1681340500
39,san patricio,28.017,-97.5169,26.4,47,2,4.59,US,1681340501
40,albany,42.6001,-73.9662,24.23,65,2,3.55,US,1681339732
41,kaitangata,-46.2817,169.8464,11.41,92,100,4.87,NZ,1681340502
42,fairbanks,64.8378,-147.7164,-2.17,79,100,5.14,US,1681340406
43,georgetown,5.4112,100.3354,27.96,94,20,1.03,MY,1681340262
44,mar del plata,-38.0023,-57.5575,13.01,76,20,4.12,AR,1681340286
45,jamestown,42.097,-79.2353,22.8,37,0,7.72,US,1681340441
46,port elizabeth,-33.918,25.5701,14.16,82,0,1.03,ZA,1681340505
47,hithadhoo,-0.6,73.0833,28.1,70,13,1.77,MV,1681340505
48,vila franca do campo,37.7167,-25.4333,15.23,82,98,1.66,PT,1681340506
49,carnarvon,-24.8667,113.6333,21.48,78,32,8.54,AU,1681340506
50,dandong,40.1292,124.3947,8.64,62,93,4.32,CN,1681340424
51,souillac,-20.5167,57.5167,24.21,94,20,1.54,MU,1681340507
52,clyde river,70.4692,-68.5914,-13.87,78,100,12.86,CA,1681340508
53,adrar,20.5022,-10.0711,24.14,50,86,7.38,MR,1681340508
54,saldanha,-33.0117,17.9442,15.03,77,100,2.09,ZA,1681340509
55,sagua la grande,22.8067,-80.0756,27.46,60,77,1.82,CU,1681340510
56,cape town,-33.9258,18.4232,17.43,74,0,2.06,ZA,1681340511
57,puerto ayora,-0.7393,-90.3518,31.98,80,86,2.68,EC,1681340511
58,salinopolis,-0.6136,-47.3561,26.05,88,95,3.37,BR,1681340512
59,thompson,55.7435,-97.8558,-0.91,86,100,5.14,CA,1681340425
60,mataura,-46.1927,168.8643,11.38,88,100,3.29,NZ,1681340513
61,torbay,47.6666,-52.7314,1.82,91,100,4.12,CA,1681340513
62,tiksi,71.6872,128.8694,-23.39,100,94,1.74,RU,1681340513
63,chokurdakh,70.6333,147.9167,-17.07,92,84,2.57,RU,1681340514
64,suntar,62.1444,117.6319,-7.27,92,73,2.33,RU,1681340515
65,ouargaye,11.5033,0.0572,33.69,18,71,2.52,BF,1681340515
66,georgiyevka,43.0369,74.7114,8.02,61,0,4.0,KZ,1681340516
67,port lincoln,-34.7333,135.8667,15.17,70,9,1.84,AU,1681340516
68,novyy urengoy,66.0833,76.6333,-27.17,99,28,4.6,RU,1681340516
69,touros,-5.1989,-35.4608,25.68,89,90,6.56,BR,1681340517
70,lompoc,34.6391,-120.4579,18.72,70,75,16.09,US,1681340512
71,tyristrand,60.0837,10.0966,5.3,99,100,2.53,NO,1681340518
72,butaritari,3.0707,172.7902,27.39,74,61,2.56,KI,1681340518
73,damavand,35.7178,52.065,14.04,51,100,2.19,IR,1681340519
74,bambous virieux,-20.3428,57.7575,24.14,94,20,1.54,MU,1681340519
75,can tho,10.0333,105.7833,25.99,100,40,0.51,VN,1681340442
76,wanning,18.8003,110.3967,24.28,90,100,2.81,CN,1681340520
77,ribeira grande,38.5167,-28.7,17.1,93,72,2.24,PT,1681340521
78,tuxtla,16.75,-93.1167,27.77,53,66,4.95,MX,1681340521
79,gazli,40.1333,63.45,22.16,35,100,5.74,UZ,1681340522
80,atuona,-9.8,-139.0333,27.15,67,95,4.37,PF,1681340523
81,kattivakkam,13.2167,80.3167,27.82,88,0,3.94,IN,1681340524
82,tasiilaq,65.6145,-37.6368,2.09,95,91,2.74,GL,1681340525
83,ajdabiya,30.7554,20.2263,14.79,68,0,2.88,LY,1681340525
84,yellowknife,62.456,-114.3525,-1.71,69,75,4.12,CA,1681340351
85,luderitz,-26.6481,15.1594,14.44,72,70,3.68,NA,1681340527
86,narsaq,60.9167,-46.05,1.12,82,72,1.81,GL,1681340528
87,margate,51.3813,1.3862,6.84,85,100,2.24,GB,1681340032
88,chapada dos guimaraes,-15.4606,-55.7497,23.81,83,73,1.99,BR,1681340529
89,catuday,16.2923,119.8062,25.83,79,83,1.9,PH,1681340530
90,banepa,27.6298,85.5214,15.63,67,20,1.03,NP,1681340531
91,la romana,18.4273,-68.9728,28.2,78,20,0.0,DO,1681340532
92,castro,-24.7911,-50.0119,17.54,81,80,0.93,BR,1681340474
93,bredasdorp,-34.5322,20.0403,13.52,83,100,2.22,ZA,1681340534
94,portland,45.5234,-122.6762,11.32,73,75,2.68,US,1681340364
95,bluff,-46.6,168.3333,11.56,81,99,8.68,NZ,1681340535
96,arraial do cabo,-22.9661,-42.0278,23.98,83,75,5.14,BR,1681340515
97,ponta do sol,32.6667,-17.1,17.78,67,15,3.39,PT,1681340537
98,santa maria,-29.6842,-53.8069,23.61,73,40,2.06,BR,1681340538
99,meadow lake,34.8014,-106.5436,28.5,14,0,8.12,US,1681340538
100,bara,10.3744,10.7288,28.02,20,23,3.93,NG,1681340539
101,vao,-22.6667,167.4833,24.98,75,100,0.83,NC,1681340541
102,esperance,-33.8667,121.9,17.47,70,0,3.8,AU,1681340542
103,emerald,-23.5333,148.1667,25.19,46,0,3.79,AU,1681340542
104,ostrovnoy,68.0531,39.5131,-9.9,84,100,1.66,RU,1681340543
105,sao filipe,14.8961,-24.4956,22.53,77,36,2.43,CV,1681340545
106,husavik,66.0449,-17.3389,1.48,83,99,3.02,IS,1681340546
107,cidreira,-30.1811,-50.2056,24.71,71,65,3.89,BR,1681340546
108,san quintin,30.4833,-115.95,16.23,70,95,6.39,MX,1681340547
109,tuktoyaktuk,69.4541,-133.0374,-19.0,71,40,6.69,CA,1681340404
110,hermanus,-34.4187,19.2345,11.56,74,99,2.47,ZA,1681340549
111,rudkobing,54.9364,10.7102,6.47,95,100,5.18,DK,1681340549
112,kidal,18.4411,1.4078,29.05,14,97,1.12,ML,1681340550
113,arlit,18.7369,7.3853,26.3,11,43,4.29,NE,1681340551
114,praia,14.9215,-23.5087,22.3,73,28,4.12,CV,1681340552
115,taiyuan,37.8694,112.5603,7.92,81,100,0.0,CN,1681340552
116,belyy yar,53.6039,91.3903,-5.06,68,0,4.0,RU,1681340553
117,punta arenas,-53.15,-70.9167,6.06,65,0,0.0,CL,1681340438
118,vestmannaeyjar,63.4427,-20.2734,5.69,67,99,2.67,IS,1681340556
119,kapuskasing,49.4169,-82.4331,18.0,32,20,4.12,CA,1681340556
120,kedrovyy,56.1667,91.8167,-2.77,71,100,4.93,RU,1681340557
121,constitucion,-35.3333,-72.4167,12.4,94,72,2.47,CL,1681340558
122,liwale,-9.7667,37.9333,20.21,99,96,0.6,TZ,1681340558
123,aguimes,27.9054,-15.4461,19.81,73,20,9.26,ES,1681340559
124,henties bay,-22.116,14.2845,15.11,82,0,1.87,NA,1681340559
125,laguna,38.421,-121.4238,19.06,46,0,3.09,US,1681340559
126,tera,14.0078,0.7531,31.76,12,9,4.49,NE,1681340560
127,churapcha,62.0025,132.4325,-4.0,84,100,2.8,RU,1681340560
128,karratha,-20.7377,116.8463,28.23,69,100,3.91,AU,1681340561
129,sao joao da barra,-21.6403,-41.0511,24.05,81,100,5.06,BR,1681340561
130,guantanamo,20.1444,-75.2092,27.76,58,15,2.3,CU,1681340561
131,asau,46.4333,26.4,6.51,92,67,1.9,RO,1681340562
132,hilo,19.7297,-155.09,25.85,75,75,4.63,US,1681340288
133,pacific grove,36.6177,-121.9166,16.32,68,20,7.72,US,1681340563
134,camopi,3.1655,-52.3158,23.22,98,100,1.39,GF,1681340564
135,umarga,17.8333,76.6167,32.49,22,97,3.97,IN,1681340564
136,villefranche-de-rouergue,44.3333,2.0,6.43,97,32,0.99,FR,1681340565
137,ancud,-41.8697,-73.8203,11.98,80,100,2.2,CL,1681339966
138,vardo,70.3705,31.1107,-1.01,74,47,7.72,NO,1681340565
139,jining,35.405,116.5814,12.46,58,1,3.35,CN,1681340429
140,manaure,11.7751,-72.4445,28.88,63,99,6.54,CO,1681340566
141,upernavik,72.7868,-56.1549,-11.23,90,62,2.03,GL,1681340567
142,chuy,-33.6971,-53.4616,17.53,79,97,5.46,UY,1681340567
143,tucuma,-0.1833,-50.05,24.91,91,57,2.61,BR,1681340568
144,chimbote,-9.0853,-78.5783,26.26,75,94,3.88,PE,1681340369
145,severo-kurilsk,50.6789,156.125,-0.27,96,100,12.07,RU,1681340569
146,bakel,14.905,-12.4568,35.1,25,79,5.94,SN,1681340569
147,sungaipenuh,-2.0833,101.3833,17.37,95,100,0.72,ID,1681340570
148,lamu,-2.2717,40.902,28.12,76,70,3.07,KE,1681340571
149,dikson,73.5069,80.5464,-22.17,92,45,8.36,RU,1681340572
150,geraldton,-28.7667,114.6,14.23,94,5,5.66,AU,1681340572
151,orchard homes,46.8633,-114.0484,9.08,48,75,5.66,US,1681340572
152,novogornyy,55.63,60.7919,3.95,67,18,2.94,RU,1681340573
153,kodiak,57.79,-152.4072,4.45,61,92,8.49,US,1681340573
154,saint george,37.1041,-113.5841,26.33,16,0,10.29,US,1681340574
155,skibbereen,51.55,-9.2667,7.84,66,11,7.32,IE,1681340574
156,la primavera,5.4906,-70.4092,31.38,50,100,2.19,CO,1681340575
157,berlevag,70.8578,29.0864,-2.03,64,16,12.35,NO,1681340575
158,buin,-33.7333,-70.75,21.9,58,100,1.32,CL,1681340576
159,baykit,61.67,96.37,-11.64,97,100,1.99,RU,1681340576
160,haines junction,60.7522,-137.5108,1.97,44,100,3.09,CA,1681340577
161,povoa de varzim,41.3834,-8.7636,11.75,76,40,2.06,PT,1681340578
162,navolato,24.7672,-107.6944,30.82,18,21,5.53,MX,1681340578
163,anadyr,64.75,177.4833,-20.72,71,0,5.0,RU,1681340579
164,nikolskoye,59.7035,30.7861,6.94,95,84,3.72,RU,1681340579
165,vengerovo,55.6848,76.7471,1.3,93,100,4.12,RU,1681340580
166,roald,62.5833,6.1333,9.08,49,0,7.2,NO,1681340580
167,usinsk,65.9939,57.5281,-24.6,96,5,4.77,RU,1681340580
168,bedesa,8.9,40.7833,17.18,75,99,1.97,ET,1681340581
169,hayvoron,48.3396,29.8679,8.77,95,97,3.07,UA,1681340581
170,yangjiang,21.85,111.9667,22.0,91,54,1.59,CN,1681340582
171,vicuna,-30.0319,-70.7081,22.65,61,71,1.29,CL,1681340583
172,ust-nera,64.5667,143.2,-10.13,88,47,1.47,RU,1681340583
173,russell,32.3502,-85.1999,23.6,40,0,3.09,US,1681340584
174,mariveles,14.4833,120.4833,23.98,83,100,2.21,PH,1681340585
175,kavaratti,10.5669,72.642,28.48,75,11,3.24,IN,1681340586
176,poum,-20.2333,164.0167,26.28,76,6,2.63,NC,1681340587
177,saskylakh,71.9167,114.0833,-11.74,94,100,7.05,RU,1681340587
178,syracuse,37.0881,15.2792,12.77,61,7,1.18,IT,1681340426
179,bubaque,11.2833,-15.8333,24.98,77,84,6.79,GW,1681340588
180,hami,42.8,93.45,8.8,28,9,6.21,CN,1681340589
181,hamilton,39.1834,-84.5333,25.97,35,0,5.66,US,1681340353
182,panzhihua,26.5851,101.7128,14.42,38,24,1.18,CN,1681340591
183,garden city,42.3256,-83.331,27.97,28,0,9.77,US,1681340077
184,port hardy,50.6996,-127.4199,8.1,71,75,4.63,CA,1681340440
185,oranjemund,-28.55,16.4333,13.33,88,98,2.23,NA,1681340592
186,san jose,37.3394,-121.895,16.75,48,20,4.47,US,1681340459
187,grindavik,63.8424,-22.4338,2.26,80,0,3.6,IS,1681340594
188,mareeba,-17.0,145.4333,27.4,86,95,0.75,AU,1681340594
189,konstantinovka,49.6167,127.9833,1.06,63,100,7.33,RU,1681340595
190,coronel martinez,-25.75,-56.6167,26.68,58,76,0.77,PY,1681340595
191,sambava,-14.2667,50.1667,23.08,94,31,1.6,MG,1681340596
192,shimoda,34.6667,138.95,14.5,75,53,6.18,JP,1681340597
193,isangel,-19.55,169.2667,29.02,69,15,2.7,VU,1681340597
194,talnakh,69.4865,88.3972,-25.1,98,100,2.48,RU,1681340598
195,klaksvik,62.2266,-6.589,6.51,85,99,9.46,FO,1681340598
196,vanimo,-2.6741,141.3028,27.41,75,77,0.73,PG,1681340599
197,erzincan,39.75,39.5,5.61,81,75,3.09,TR,1681340600
198,hobart,-42.8794,147.3294,14.47,93,75,1.54,AU,1681340600
199,gat,31.61,34.7642,11.55,100,8,5.06,IL,1681340601
200,edd,13.9297,41.6925,30.19,58,96,8.5,ER,1681340602
201,knappskog,60.3819,5.0558,9.03,46,75,3.09,NO,1681340602
202,grand forks,47.9417,-97.4337,5.96,70,75,4.63,US,1681340603
203,maragogi,-9.0122,-35.2225,25.49,85,89,3.45,BR,1681340604
204,talavera de la reina,39.9635,-4.8308,7.77,75,49,1.04,ES,1681340604
205,yerbogachen,61.2767,108.0108,-17.21,98,50,1.7,RU,1681340605
206,diffa,13.3154,12.6113,26.68,21,73,5.02,NE,1681340606
207,kashin,57.3592,37.6081,7.79,66,71,2.55,RU,1681340606
208,rocha,-34.4833,-54.3333,16.13,75,95,5.07,UY,1681340422
209,naushki,50.3828,106.1056,-2.48,61,100,9.39,RU,1681340608
210,atikokan,48.7555,-91.6216,17.2,75,20,2.36,CA,1681340609
211,nenjiang,49.1833,125.2167,1.31,61,28,4.74,CN,1681340609
212,beringovskiy,63.05,179.3167,-16.42,85,72,5.48,RU,1681340610
213,mayor pablo lagerenza,-19.9309,-60.7718,26.47,73,69,2.48,PY,1681340611
214,pingzhuang,42.0372,119.2889,12.14,28,82,1.06,CN,1681340612
215,pisco,-13.7,-76.2167,26.03,69,79,7.72,PE,1681340612
216,aykhal,66.0,111.5,-20.28,86,63,2.63,RU,1681340614
217,salalah,17.0151,54.0924,26.53,74,21,1.87,OM,1681340615
218,alice springs,-23.7,133.8833,22.75,40,100,4.12,AU,1681340521
219,taua,-5.9667,-40.3,23.56,72,56,3.31,BR,1681340616
220,te anau,-45.4167,167.7167,11.46,92,99,1.8,NZ,1681340616
221,matveyevka,52.15,56.1833,7.17,59,79,3.85,RU,1681340617
222,eureka,40.8021,-124.1637,12.64,64,7,6.26,US,1681340434
223,mount barker,-35.0667,138.8667,14.99,72,26,3.19,AU,1681340618
224,caravelas,-17.7125,-39.2481,24.2,89,37,2.07,BR,1681340620
225,cockburn town,21.4612,-71.1419,25.98,73,40,4.12,TC,1681340620
226,mirnyy,62.5353,113.9611,-9.87,66,52,4.02,RU,1681340621
227,den helder,52.9599,4.7593,8.34,73,75,16.99,NL,1681340373
228,praya,14.9215,-23.5087,22.3,73,28,4.12,CV,1681340573
229,faanui,-16.4833,-151.75,28.2,67,33,3.99,PF,1681340622
230,ochakiv,46.6128,31.5498,8.25,92,100,4.69,UA,1681340623
231,aksu,41.1231,80.2644,10.35,37,8,1.56,CN,1681340624
232,belaya gora,68.5333,146.4167,-15.09,92,60,2.67,RU,1681340624
233,mount gambier,-37.8333,140.7667,15.96,92,90,1.27,AU,1681340625
234,gaborone,-24.6545,25.9086,13.95,82,0,2.06,BW,1681340626
235,guerrero negro,27.9769,-114.0611,15.48,77,100,8.4,MX,1681340440
236,broome,42.2506,-75.833,24.21,33,0,3.6,US,1681340627
237,victoria,22.2855,114.1577,22.89,87,98,0.45,HK,1681340160
238,saint-philippe,-21.3585,55.7679,23.77,85,29,0.26,RE,1681340627
239,talaya,61.3833,152.75,-15.24,68,35,0.65,RU,1681340628
240,yeniseysk,58.4497,92.1703,-2.31,85,100,4.96,RU,1681340628
241,ust-ishim,57.6935,71.1665,-0.13,93,45,2.45,RU,1681340629
242,saint-pierre,-21.3393,55.4781,24.2,78,0,3.09,RE,1681340629
243,bayevo,53.2833,80.7667,3.56,47,100,8.09,RU,1681340629
244,nirmal,19.1,78.35,30.98,27,31,1.64,IN,1681340630
245,jertih,5.7336,102.4897,23.92,94,99,1.59,MY,1681340630
246,korla,41.7597,86.1469,11.77,37,100,1.08,CN,1681340631
247,medvedok,57.3891,50.0351,4.81,70,13,1.73,RU,1681340631
248,northam,51.0333,-4.2167,8.67,77,89,12.54,GB,1681340633
249,oriximina,-1.7656,-55.8661,25.35,91,63,1.09,BR,1681340633
250,alekseyevsk,57.8406,108.3492,-8.93,95,92,1.54,RU,1681340634
251,ilulissat,69.2167,-51.1,-4.99,93,100,1.03,GL,1681340634
252,kazanskoye,55.6448,69.235,2.44,71,8,3.93,RU,1681340635
253,arenapolis,-14.4503,-56.8461,23.32,93,60,1.23,BR,1681340635
254,saint anthony,45.0205,-93.218,31.03,33,0,6.17,US,1681340637
255,cabo san lucas,22.8909,-109.9124,28.61,50,75,8.75,MX,1681340637
256,college,64.8569,-147.8028,-2.18,81,100,5.14,US,1681340402
257,san policarpo,12.1791,125.5072,25.91,87,84,2.11,PH,1681340638
258,port blair,11.6667,92.75,26.27,80,57,2.65,IN,1681340638
259,victor harbor,-35.5667,138.6167,14.27,73,91,4.67,AU,1681340640
260,harper,4.375,-7.7169,26.76,85,16,3.48,LR,1681340640
261,cuenca,-2.8833,-78.9833,21.07,46,40,3.6,EC,1681340578
262,marawi,7.9986,124.2928,22.01,83,1,1.16,PH,1681340642
263,pombas,17.1503,-25.0201,21.88,79,32,5.33,CV,1681340643
264,bom jesus,-9.0744,-44.3586,26.27,45,26,1.27,BR,1681340643
265,kholodnyy,62.7167,147.95,-15.78,84,83,0.13,RU,1681340644
266,milledgeville,33.0801,-83.2321,23.08,27,0,0.0,US,1681340645
267,isilkul,54.9109,71.2728,2.15,67,1,4.09,RU,1681340646
268,druskininkai,54.0167,23.9667,9.11,92,100,3.58,LT,1681340647
269,praia da vitoria,38.7333,-27.0667,16.53,88,20,3.4,PT,1681340647
